CYP46A1	CYP4F8	CYP2U1	CYP2R1	CYP4F22	CYP1A1	CYP1A2	CYP1B1	CYP2A6	CYP2A7	CYP3A7	CYP2A13	CYP2B6	CYP2B7P1	CYP2C19	CYP2C8	CYP2C9	CYP2C18	CYP2E1	CYP2J2	CYP3A4	CYP3A5	CYP4A11	CYP4B1	CYP7A1	CYP8B1	CYP11A1	CYP11B1	CYP11B2	CYP17A1	CYP19A1	CYP21A2	CYP24A1	CYP26A1	CYP27A1	CYP27B1	CYP51A1	CYP4Z2P	CYP4Z1	CYP4X1	CYP1B1-AS1	CYP4V2	CYP2S1	CYP27C1	CYP39A1	CYP2W1	CYP26B1	CYP20A1	CYP4F11	CYP3A43	CYP4F12	CYP4F2	CYP7B1
NCIH1734_LUNG	3.915873	3.735211	7.166995	8.279295	3.710565	6.116917	5.171573	9.148891	5.356085	3.803399	3.729505	5.590609	4.282348	5.560487	3.991587	3.371836	4.269937	4.109512	3.793028	6.721389	4.958773	4.485129	4.093827	4.35518	3.560218	4.064262	3.836904	3.71226	4.470399	4.147136	4.341466	4.753221	6.163152	4.379781	5.898327	7.713614	9.165391	3.79984	3.708227	4.986116	3.693577	6.144979	6.445872	4.426752	6.233126	3.884291	4.122815	6.976861	3.653382	3.881879	4.266882	4.088135	4.340328
NCIH2342_LUNG	4.210403	3.724053	7.640058	7.722559	4.078835	6.349352	7.390875	10.87834	5.883985	3.850477	3.691589	6.294387	4.346603	6.364103	4.34697	4.005462	4.346111	3.996298	4.012888	8.96568	5.317007	4.415852	4.781577	7.912451	3.50611	4.133627	4.625044	3.951678	4.968803	3.915738	4.176031	5.435801	3.855386	6.414689	5.884219	6.745127	10.83491	3.860267	3.92117	5.100303	3.772543	5.703365	7.494174	3.994797	5.045576	3.662889	5.957851	7.626259	3.479276	3.828934	4.953822	4.99062	3.972915
EBC1_LUNG	3.852249	3.590192	6.018612	8.707129	3.884628	7.414774	5.065293	8.278772	5.495558	3.510233	3.920719	6.017824	4.232897	5.425373	4.506555	3.717781	4.354521	3.915444	4.055878	5.74032	4.776725	4.834897	4.998559	3.626114	3.608156	3.779789	3.808271	3.559898	4.739481	4.086772	4.255357	5.067634	4.802951	4.070064	5.49191	6.909059	9.415751	4.003798	3.68665	4.481829	3.568546	7.488135	4.377293	4.890698	6.327912	3.831662	4.239329	7.153513	4.732803	3.853737	4.578644	4.043396	3.742754
YMB1_BREAST	4.988561	3.831511	5.60921	9.906488	3.869742	5.078642	5.064913	11.03512	5.420834	4.340015	3.835033	5.859991	4.51575	5.596481	4.558297	3.650742	4.722448	3.974539	4.051447	8.650265	5.088674	4.442132	4.914454	9.741758	3.735345	3.960912	3.835897	3.817062	4.670755	4.198293	4.453659	5.15647	3.557189	4.100488	5.942152	8.599887	9.729168	6.248521	3.762172	4.081371	4.238753	4.804643	4.234978	3.833492	4.120591	3.978877	4.284214	6.340825	3.416673	4.110939	4.405944	4.44002	3.70685
OC316_OVARY	4.444813	3.764916	6.445133	9.113302	3.97519	5.170494	5.260804	7.630723	5.644256	4.339541	3.807684	5.99928	4.148975	5.574884	3.808978	3.444806	4.641772	4.461305	4.167188	7.994376	4.800653	4.521841	4.54313	3.618329	3.556243	4.145823	3.563195	3.675832	4.729725	4.057065	4.430537	4.407347	3.496609	4.319471	5.439733	5.591322	10.12628	3.71899	3.490298	3.352727	3.688542	5.348939	4.769017	3.637271	4.80063	3.716825	4.553324	7.784676	3.89571	3.918239	4.351075	4.443006	5.398936
HS936T_SKIN	4.50828	3.866366	7.512535	7.89131	3.795125	6.551049	5.007735	4.68309	5.971537	3.763027	3.944737	6.894691	4.732731	5.566145	4.602331	3.50232	4.918373	4.052277	4.128835	5.123626	4.905756	4.487918	3.77446	3.992035	3.606452	4.433806	3.889944	3.735319	4.691025	3.99915	4.430764	5.574019	4.037149	3.839237	8.840416	6.229873	9.051678	4.007578	3.354259	3.792275	3.643586	7.050098	4.191173	3.746079	4.609857	4.387449	4.663093	7.406513	3.548417	4.07432	4.78998	3.785076	3.783455
T173_BONE	4.041075	3.807333	7.11594	7.383348	3.946895	5.1718	5.333569	11.28134	5.23127	3.494994	3.64629	6.044767	5.335094	5.581768	4.108762	3.423586	4.600854	4.149611	4.683885	3.774377	5.022791	4.702224	4.677373	3.961558	3.544467	4.587033	3.95505	3.791606	5.024017	4.895648	4.255747	4.53069	4.037944	4.140316	6.53371	5.736627	8.077499	3.612821	3.760872	3.503902	3.581665	7.123338	4.027582	5.004078	3.80073	3.902744	4.346959	8.05223	3.521051	4.10168	4.533729	4.169487	3.887611
NCIH322_LUNG	4.131366	4.02765	5.147242	8.592241	4.130285	8.308324	5.249036	12.08347	6.167103	4.253964	3.823509	6.50682	4.54386	5.809043	4.604303	3.462069	4.646173	4.394491	4.712299	7.068203	4.705515	4.484735	5.332847	4.517699	3.723294	4.52638	3.974532	3.754739	4.636164	4.939966	4.463875	3.94972	3.735542	4.558937	5.54296	8.469306	9.95237	4.236903	3.51589	4.127578	4.026352	5.191618	3.935215	5.525683	5.168997	4.134443	5.401316	7.304957	8.957837	4.041483	5.225968	6.63246	7.228208
HS618T_LUNG	3.941125	3.637329	8.082714	6.297809	3.708344	5.039678	5.346538	8.509312	5.249464	3.615578	3.740344	6.081924	4.348408	5.601192	4.764876	3.486028	4.314075	3.893622	4.129002	4.389055	4.760398	4.382592	4.299301	3.823593	3.539706	3.989578	3.541966	3.790791	4.551891	3.901094	4.263595	5.176337	3.456309	4.241293	6.710202	5.205027	8.970489	3.803369	3.652344	3.695165	3.610924	6.439562	6.327343	4.050665	3.831834	3.730683	4.302517	7.841985	3.532601	3.761401	4.461792	4.038927	3.66998
HS870T_BONE	4.271008	3.84975	7.340268	7.446058	4.182522	5.31767	4.833207	11.61698	5.641827	4.132022	4.069836	6.133593	5.821428	5.568257	4.711693	3.48396	4.459739	4.23853	4.768342	4.030325	5.068692	4.45369	4.956759	4.154656	3.507998	3.999653	3.933898	4.132022	4.160831	4.205895	4.400845	4.354385	4.036822	4.616353	6.315668	5.798784	8.770437	4.207706	4.011858	3.6121	3.978393	6.100777	3.734626	4.649612	3.882501	4.18296	4.39113	8.05308	3.909571	3.96261	4.716714	4.18723	3.931096
HS706T_BONE	4.341143	3.68416	7.393761	8.308375	3.619416	4.922566	4.986131	4.365078	5.577461	3.822224	3.923029	6.100923	4.930614	6.031545	4.353588	3.425709	4.927504	3.990225	4.498224	4.481645	4.787839	4.575695	3.814078	4.231022	3.80033	4.094602	4.224176	3.531615	4.375902	4.533138	4.135466	4.748901	3.526627	4.302282	5.666122	5.532975	9.207484	3.488609	3.522492	3.274068	3.543187	5.927056	4.257308	4.899581	4.049313	3.704621	5.063111	7.751594	3.979865	3.920336	4.236244	4.153734	4.819231
PANC1_PANCREAS	4.469283	3.851967	4.969724	8.123186	4.079908	5.708161	5.359833	11.26209	5.89928	3.537006	4.151783	6.329914	5.052043	5.581248	4.818227	4.131801	4.800966	4.083509	3.99476	3.78421	4.656734	4.552383	4.839019	3.810956	3.632481	4.423609	3.929426	4.054098	4.700576	4.338356	4.195164	5.364105	3.874798	4.197963	6.100591	6.086148	9.564741	4.304087	3.412482	4.312731	3.828755	4.709146	5.079088	5.972053	3.853232	3.890066	4.696026	8.210606	3.746224	4.175554	4.720501	4.125601	4.012876
NCIH2291_LUNG	4.171565	3.649828	6.249205	8.466683	3.854677	5.253895	5.322029	8.098432	5.651312	3.737881	3.942062	6.025598	4.257887	5.626659	5.046663	3.549574	4.771138	4.121054	4.049939	6.328562	5.030356	5.000205	4.633067	3.922398	3.565931	4.479127	3.940745	3.713955	4.86649	4.410087	4.204659	5.356923	8.688162	4.682986	5.94707	6.422585	9.349635	3.942138	3.776266	3.536843	3.58944	5.563001	5.434039	4.133754	3.861126	4.015573	4.886824	8.059823	3.989587	3.910552	4.430979	4.739449	3.633065
T47D_BREAST	4.601214	3.684188	6.406866	9.624344	3.69321	5.18442	5.152654	9.584871	5.596155	4.169382	3.878183	6.16178	4.573043	5.741991	4.55666	3.694608	4.315024	3.965984	4.185817	6.76261	5.089554	4.520379	4.528061	3.99704	3.873826	4.138342	4.040763	3.774518	4.595467	4.332981	4.253285	5.102538	3.787765	4.382053	5.600277	6.088244	8.565388	7.751113	3.568361	8.176916	4.028881	4.921966	4.59755	3.932982	4.223864	3.995419	4.659128	6.488872	3.679255	3.935201	4.677281	4.640888	3.956416
CPCN_LUNG	4.307632	3.515915	6.66618	7.699311	3.725928	4.814174	5.403392	4.241871	6.191711	3.937567	3.86164	6.273237	4.67593	5.700658	4.159737	4.184008	4.565818	4.04398	4.028019	4.234016	4.900206	5.023024	4.394799	4.047759	3.560678	4.159659	4.11482	3.787047	4.623515	4.075043	4.259459	5.373382	3.777454	4.070426	6.06324	5.585102	9.474888	4.041801	3.88578	3.523294	3.698338	4.635035	4.103574	4.864884	8.953313	3.768898	4.814114	7.169828	3.578112	3.934818	4.719097	4.684907	4.543754
T3M10_LUNG	4.074537	4.097117	6.354241	9.089414	3.785466	7.806974	5.266701	9.863286	5.751669	4.27194	3.720979	6.112478	4.352483	5.465356	4.719606	3.571778	4.769344	4.137266	4.061696	6.957202	4.78052	4.53029	3.829509	3.818612	3.834315	4.272212	4.026128	3.848446	4.983856	4.459266	4.324956	4.862171	5.149398	4.300271	6.05812	8.343163	9.226954	4.005063	3.659049	3.335837	3.603169	5.774598	4.541695	4.113109	6.622691	4.021163	5.227816	7.388856	9.008392	4.170283	5.438779	4.307114	4.20128
NUGC2_STOMACH	4.166597	3.889978	5.759543	5.398033	4.053966	11.31515	5.270324	5.833589	5.31656	3.82027	5.227167	6.222904	4.173189	6.035247	4.295758	3.570267	4.404473	3.909347	4.146252	8.310409	4.433032	4.224123	3.963383	4.359601	3.633667	3.653519	4.235966	3.640315	4.632925	4.387286	4.373832	5.0107	7.21727	5.451887	6.197292	6.014274	9.410926	4.409094	3.684897	3.433835	3.658483	6.043037	6.295053	4.056438	4.921382	3.913862	5.173116	6.246673	3.674075	4.059136	5.744647	5.003916	4.085157
PLCPRF5_LIVER	4.408102	3.858096	6.269215	8.86071	3.818963	9.752306	5.501019	4.415475	5.5471	3.820278	3.762682	6.457156	4.431529	5.481928	4.45328	3.428912	4.858345	5.246865	4.136969	5.72036	5.238269	5.24735	4.275411	3.781485	3.648309	4.246988	3.953861	3.954147	5.12852	4.320731	4.213078	5.138458	10.59316	6.41732	6.313865	5.934542	9.652846	3.88552	3.619257	3.567269	3.829555	4.669411	8.175667	3.831254	4.693287	4.093194	4.351068	7.96749	3.84854	4.032953	5.197528	4.308944	3.634105
KPNYN_AUTONOMIC_GANGLIA	4.005713	3.739199	7.201568	8.043295	4.045148	5.22983	5.182571	4.317156	5.922767	3.712514	4.226314	6.166256	4.51404	5.834776	4.644983	3.584501	4.755806	4.072068	4.179883	4.212362	5.082528	4.667558	4.505862	3.948346	3.597254	4.332606	3.966433	3.826591	4.635782	3.803157	4.303547	5.40631	3.525497	4.525868	5.684953	6.398711	9.800547	4.006538	3.648083	3.332054	3.787725	5.794164	4.031568	4.460915	3.669145	3.763915	4.600983	7.306933	3.412996	3.775125	4.383813	4.28197	4.065911
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	4.338482	3.833132	7.053104	6.609187	3.763858	5.81228	5.115718	7.97793	5.669947	3.619423	3.745999	6.201959	4.684925	5.321449	4.450996	3.47319	4.73774	3.771648	4.05002	4.01204	5.001748	4.339402	4.24305	3.856232	3.504091	3.835559	3.76541	3.523125	4.437075	4.344582	4.897899	4.952047	3.604222	4.153673	6.235495	5.357459	9.24549	3.920553	3.767922	3.546563	3.633049	5.96727	4.638174	4.92204	4.364624	4.336998	4.936509	7.911521	3.968788	4.184747	4.024365	4.249647	3.567255
NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.224354	3.671562	6.58759	8.638826	3.925537	5.699251	6.018269	4.570716	5.930928	3.444527	4.264033	6.025916	4.583441	5.954531	5.959222	3.661044	5.038236	4.41896	4.836247	5.759781	5.17616	4.81638	4.288043	3.981921	3.760657	4.087256	3.876464	3.869872	5.391217	4.23921	4.629094	6.024075	3.687558	4.492122	6.367202	7.33113	9.30976	3.830022	3.71349	3.63472	4.054583	5.654293	3.752961	3.77514	4.063355	4.00738	4.287664	9.048375	3.292015	4.620643	4.668453	4.645409	3.652942
KMRC3_KIDNEY	4.310582	3.859866	6.981014	8.995217	4.002299	4.948734	5.063516	9.391084	5.877052	3.876663	3.666157	5.912576	4.734609	5.381805	4.125239	3.843601	4.53051	4.170713	4.397354	7.587624	5.146031	4.817383	4.974317	3.933476	3.943597	3.879361	4.010569	3.564135	4.458646	4.693596	4.296132	5.204041	3.761951	4.114179	8.001114	5.28232	10.11323	4.776092	3.495699	3.698319	3.716135	6.90349	4.495995	3.745463	3.941456	3.836715	4.79486	6.376909	3.91818	4.093356	4.275487	4.132758	4.257913
NCIH2023_LUNG	4.448201	3.804379	5.954032	7.790655	3.76146	5.496814	5.087352	11.0702	5.629014	3.431907	3.718455	6.157785	4.232085	5.209318	4.611273	3.739795	5.075052	4.818596	3.852219	4.901039	5.049795	4.678052	4.323278	3.653223	3.568509	4.08851	4.019888	3.844016	4.874951	4.290913	4.074683	4.811073	12.21941	5.886546	5.7948	6.513057	10.04406	3.51887	3.81732	3.425521	4.085116	5.593666	6.087944	5.00881	7.091689	4.108815	5.496539	7.299602	9.135936	3.877712	5.119956	6.207502	3.61195
DMS153_LUNG	4.134295	3.841047	6.751589	8.550582	3.61803	11.06846	4.898764	6.21639	5.430959	3.320409	3.782042	5.701635	4.262772	5.441348	4.254678	5.412781	4.442432	3.767407	7.887703	5.538246	4.975005	4.177918	4.160569	4.333761	3.61781	3.918889	3.73068	3.612152	4.762806	3.986784	4.254678	4.668201	3.483368	4.138635	6.141345	6.105278	9.682658	4.101629	3.647896	4.521332	3.520292	5.795148	4.119902	3.72296	4.273123	3.895572	5.540652	7.209656	3.582172	3.970867	4.577546	3.951873	4.629688
NCIH1048_LUNG	4.847482	3.457208	4.746713	8.424601	3.717171	7.763043	4.954263	8.318842	5.257584	4.086253	3.970027	5.84192	4.384104	5.286293	4.227927	3.535538	4.710189	3.844229	3.897582	4.227927	4.773205	4.821324	4.70449	3.832489	3.542102	3.919593	3.845558	3.483647	4.568681	3.887236	4.096617	4.757789	3.342337	4.506067	7.22546	5.430326	9.476054	3.639555	4.086684	5.054771	3.495286	4.809108	3.785813	4.434959	6.452885	3.830784	4.41444	7.195342	3.411264	3.712935	4.603667	3.947629	3.574361
D341MED_CENTRAL_NERVOUS_SYSTEM	5.090677	3.829176	6.663283	8.607484	3.804425	4.988103	5.291877	3.957038	5.733944	3.425803	4.092986	6.340088	4.526647	5.715323	3.957641	3.766787	5.283186	4.00879	4.993577	3.849121	5.340615	4.652165	4.391183	3.644657	3.67686	4.360818	4.136242	3.785793	4.892446	4.150721	4.195107	5.057459	3.872877	4.249923	6.051702	8.985915	10.38468	3.7438	4.111764	3.631602	3.508572	5.41729	4.199244	4.163641	7.29277	3.96321	4.208567	6.91183	3.331727	4.100176	4.677718	4.766218	3.761131
NCIH660_PROSTATE	4.111452	3.72859	5.862766	9.208771	3.899756	10.31673	5.05135	7.016776	5.262866	3.548798	3.670534	6.267899	4.286808	8.788003	4.43882	3.456375	4.932135	3.999513	4.327147	5.569242	4.838799	4.56108	4.322866	4.192254	3.361336	3.958399	3.945618	3.606543	4.935374	4.103196	4.321038	5.159285	3.358691	3.975522	5.995447	5.91831	8.92889	3.908352	6.767767	11.95684	3.829666	6.35719	6.308941	3.889958	4.473459	3.770334	4.728323	7.967533	3.591723	3.750432	4.382087	4.291189	3.900764
NCIH1618_LUNG	4.776125	3.606851	6.632353	7.280882	3.758698	9.462058	5.192059	6.854175	5.493959	3.413394	3.689189	5.521668	4.313309	5.912579	4.713155	3.748369	4.745571	4.077727	4.018002	4.706546	4.913423	4.50974	4.501426	4.692874	3.582657	4.164546	3.831169	3.725699	4.696198	3.939991	4.148832	4.502758	3.239113	8.922148	6.939085	5.505691	9.483102	3.960151	4.574913	8.601124	3.65121	6.847872	3.867148	3.768327	5.579018	3.717028	4.104171	7.641946	3.252984	4.031025	4.246683	4.034393	3.634154
HS675T_LARGE_INTESTINE	4.17331	3.893924	7.866574	6.272475	3.55861	5.230184	5.32068	4.545612	5.462018	4.221548	3.641754	5.800757	4.428935	5.545674	4.522438	3.800662	4.82068	3.980509	4.348842	4.729135	5.097881	4.502114	4.511916	3.89092	3.481927	4.099833	4.122607	3.738932	4.342244	4.086106	4.19607	5.29414	3.538493	4.529407	7.117233	5.10578	8.993441	3.855132	3.949765	3.352123	3.590561	6.417793	8.254157	3.885788	6.600944	3.833496	6.224029	7.508463	3.617221	3.869332	4.362977	4.471967	3.740686
PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.384748	3.999184	8.384493	9.278844	3.851206	9.162885	5.32433	4.029271	5.372613	3.566423	3.914444	6.286425	4.514173	5.471913	4.590738	3.540642	4.310106	3.975969	4.33609	4.222854	4.86198	4.935	4.714377	3.861776	4.072996	4.222854	4.387621	3.76337	5.552083	4.362792	4.239003	5.106737	3.448999	7.570549	5.619964	6.505651	9.874895	4.481361	3.687617	3.55721	3.389786	5.361549	4.41668	4.019983	3.847638	3.786467	4.281552	8.522601	3.469723	4.027474	4.731999	6.496783	3.78165
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.620985	3.672165	5.98865	9.103309	3.656067	6.023056	5.016946	8.163754	5.512561	3.511735	3.814995	5.885059	4.314738	5.114193	4.496683	3.52428	4.4946	3.976678	3.804506	4.317183	4.795602	4.472213	4.388204	3.665926	3.481745	3.811549	3.764668	3.543363	4.605633	4.387643	4.397487	4.620079	3.709819	4.103284	6.593227	6.673579	9.50364	4.337501	3.596785	3.635762	3.277318	6.788231	6.342899	4.017531	3.79038	4.059695	3.920411	7.03282	3.557687	3.768246	4.600662	4.430957	4.242929
HT144_SKIN	4.253631	3.716834	6.664753	7.145462	3.79509	6.172292	4.922321	4.450362	5.110665	3.489641	3.802003	5.913564	4.115071	4.941997	4.732992	3.693487	4.367951	3.821462	3.679016	5.378427	4.830816	4.187354	4.432045	3.714915	3.69182	3.887912	3.919778	3.594576	4.697668	4.497057	4.328538	4.815401	3.549636	4.140468	7.475764	5.622997	9.387237	4.305444	3.381373	3.372762	3.410919	5.752716	4.008481	5.480683	3.879656	4.079044	4.040839	7.655336	3.53429	3.828643	4.206437	4.412593	5.386502
SKMEL31_SKIN	3.807407	3.684721	7.250823	7.843274	3.772596	5.649593	4.729403	10.79316	5.464618	4.720383	3.910387	5.751445	4.40809	5.20165	5.15559	3.542321	4.711729	3.887156	3.979367	4.909006	4.86132	4.55694	3.74037	3.843248	3.748347	3.986365	3.805579	3.619616	4.327878	3.649119	5.970425	4.875835	3.649517	4.283017	8.578712	5.300842	8.693493	4.147613	3.549093	3.8966	3.753465	7.894868	4.169362	4.57897	4.896857	3.806059	4.218462	6.808116	5.470147	3.756614	4.672825	3.871084	5.757194
HS839T_SKIN	4.170223	3.712379	7.256877	6.942841	3.568519	5.348939	5.374123	11.67422	5.657891	3.649666	4.246728	5.862287	4.788358	5.9051	4.751045	3.510592	4.648255	3.814284	4.183737	4.001869	5.052919	5.471731	4.51149	3.774263	3.62373	3.860506	4.367607	4.065279	4.884233	4.350374	4.209218	4.81201	3.658156	4.285832	6.059312	5.248132	8.945964	3.689504	4.127499	3.39195	3.681858	6.570245	4.216564	4.575708	4.059433	3.971481	4.587932	7.823563	3.461913	4.21259	4.400794	4.202097	3.667755
HS939T_SKIN	4.106221	3.799663	8.617455	8.469565	3.70624	8.162025	4.610298	5.928525	5.42463	3.176781	3.902504	6.001649	4.584888	5.604135	5.06029	3.358373	4.567179	3.830965	4.016345	6.406495	4.750461	4.533087	4.443147	3.651478	3.608104	4.081563	4.180747	3.633037	4.435672	3.972233	4.137437	4.310037	3.871044	4.139044	7.712257	5.991921	9.70588	3.709272	3.604302	3.540101	3.573283	6.04471	4.436034	4.819116	4.090389	3.875443	4.521196	7.669843	3.7329	3.963726	4.287639	3.763613	5.696749
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.151184	3.923501	7.291533	8.723429	3.786531	5.815798	5.467739	4.221326	5.961579	3.930566	4.141156	6.360625	4.501913	5.743354	4.996978	3.894394	5.211782	4.559309	4.152101	4.546137	5.275431	4.826604	4.406125	3.716888	3.894394	3.887902	4.571493	3.751037	5.786712	4.242827	4.314219	5.261155	3.661553	4.722889	5.748816	6.763116	10.29919	4.004319	4.120589	4.002959	3.663582	4.918521	4.397313	4.107092	3.927325	4.282812	4.386796	7.984807	3.605027	3.945889	4.560271	4.252792	3.5363
HS819T_BONE	4.304802	3.908032	7.940583	7.410633	3.823584	4.768423	4.887915	11.00896	5.214083	3.485453	4.196661	6.253228	4.405878	5.200722	4.598273	3.797607	4.269214	4.099444	4.676286	3.966732	5.134524	4.583529	5.757509	3.813494	3.735981	4.199933	4.348106	3.831584	4.909113	3.943865	4.214398	4.617423	3.634378	4.152062	6.298969	5.16215	9.477967	4.310006	3.705152	3.314241	3.477929	7.272986	4.153857	4.561351	3.94846	3.818235	4.987462	8.493517	3.50418	3.913128	4.856587	4.049545	3.83468
NCIH69_LUNG	4.148801	3.735017	6.95239	5.332292	3.515925	5.254568	4.895381	3.856127	5.109115	3.630242	3.815953	5.925661	4.371234	5.354258	4.548929	3.815923	4.16888	4.088796	3.89727	6.069691	4.893309	4.855078	5.189854	3.763692	3.602024	3.979786	4.093475	3.583726	4.458754	4.015936	4.703271	6.326796	3.248474	4.864475	7.486286	6.260869	9.910963	4.184711	3.709816	3.614573	3.623221	4.429892	3.924149	3.89727	3.608658	3.832994	4.156357	6.351987	3.488715	4.287406	4.299057	4.090347	6.231205
DV90_LUNG	4.228259	3.722637	4.84496	9.212594	3.766117	5.396073	4.734498	9.526975	5.283581	3.788142	3.987992	6.093764	4.099834	5.176076	5.322065	3.60043	8.672054	4.204188	4.718334	6.869254	4.941579	6.691603	3.946915	3.866943	3.900855	4.021463	4.259786	3.750946	4.896896	3.988561	3.971284	4.920278	3.455686	4.167228	5.7226	8.432065	6.094255	4.2735	3.962466	8.264842	3.629272	7.151151	7.751334	3.931996	6.265539	3.944824	5.541872	6.99163	5.01507	4.288342	5.105172	4.497847	4.316116
ZR751_BREAST	4.693687	3.933685	6.292348	9.807163	3.928654	4.884878	4.584027	9.372485	5.395556	3.96474	4.122981	6.248252	4.488817	12.12731	4.549988	3.612234	4.498969	4.061596	4.115059	7.877151	5.167729	4.787572	4.373134	7.529288	4.066394	3.844139	3.963791	3.59368	4.855223	4.037131	4.110423	4.096384	3.726347	3.77442	6.139087	6.956566	10.17151	6.754174	4.694343	3.697251	3.656013	4.831303	3.98928	3.970217	4.020115	3.981208	4.148762	6.380235	3.470362	3.707029	4.190206	4.142586	4.15961
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.389605	3.663219	6.079937	8.441279	3.821289	9.623125	4.841606	12.45196	5.487602	3.858567	3.971544	6.313768	4.748077	5.333111	5.358004	3.691345	4.645483	3.889605	4.206062	4.559677	4.825277	4.55316	3.991103	3.920668	4.093605	3.826636	3.891304	3.698441	4.658885	3.989362	4.696735	4.96384	3.736696	5.075106	5.563079	5.382125	9.205232	4.306079	3.665619	3.378549	5.324992	4.432712	4.090809	4.121863	3.876394	3.492483	4.065491	7.564292	3.360167	3.933087	4.377475	4.255207	6.853424
SKNBE2_AUTONOMIC_GANGLIA	4.042648	3.58738	7.267392	7.399253	3.685277	5.549294	5.039066	6.500805	5.546861	3.889564	3.833121	6.11253	4.61899	5.616991	4.66824	3.733753	4.658027	4.099359	4.179516	4.024432	5.007298	4.577562	5.303178	3.840664	3.927493	4.156343	4.519543	3.620107	5.293415	3.881536	4.099387	4.941338	3.593173	4.211591	6.245645	5.251846	9.500673	4.355139	3.677405	3.414756	3.67013	5.63954	4.650662	5.407838	3.798935	3.895982	3.995606	7.330994	3.449226	3.947517	4.255444	4.308668	4.33189
HCC70_BREAST	4.205175	3.890288	4.858113	7.69806	3.880049	11.6615	5.141072	11.83681	5.378829	3.532432	3.892614	6.114863	4.493055	5.33395	4.597578	3.532334	4.521809	3.973391	6.711188	7.265911	5.16121	4.230514	4.367035	5.505867	3.8378	4.315759	4.148222	3.619813	5.090176	4.048849	4.207124	6.09464	3.485431	4.222308	5.940964	6.658991	10.30129	4.566111	9.362928	9.248307	3.525552	5.556032	4.410045	7.059292	7.431032	4.036767	4.40812	7.301401	4.584284	4.01517	5.933096	4.737675	7.093758
NCIH2452_PLEURA	4.098958	3.80335	5.932072	7.76552	3.922189	6.82465	4.939763	8.726707	5.495482	3.640133	3.824278	5.880182	4.214211	5.366279	4.951393	7.373593	4.603192	3.792058	4.656116	4.02651	4.920641	4.793317	4.22304	3.947463	3.703228	4.267163	3.820888	3.748385	4.735245	4.335363	4.110312	5.905574	4.041641	4.53926	5.650781	5.327778	9.541162	3.541997	3.338497	3.523206	3.633799	5.271385	4.1513	3.987457	3.796064	3.612059	3.946536	7.670016	4.523785	4.029338	4.523133	4.061856	3.672327
SNU1_STOMACH	4.472336	3.980655	5.712044	8.652338	3.839276	4.867579	5.359029	3.862662	5.436895	3.246828	4.052396	6.422402	4.382408	5.529698	4.860059	3.713151	5.432352	4.409778	5.71114	3.820869	5.151984	4.731492	6.815048	3.628569	3.929577	4.102822	4.868568	3.734688	4.795556	3.923254	4.447576	6.002685	3.492273	4.482857	6.251105	6.757586	10.24616	4.674969	3.361712	3.556545	3.374789	6.822115	4.069506	4.218211	3.974584	4.349891	4.435953	7.570602	3.823102	4.063788	4.722997	4.297667	3.627857
LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.340096	3.831344	5.807837	8.977776	4.026939	5.555176	5.054438	4.14812	5.14186	3.887803	3.796347	6.122803	4.733449	5.313057	5.325684	3.588185	4.617537	3.943867	5.257455	3.707159	5.097899	4.873371	4.91238	3.817698	4.004644	4.107551	3.971967	3.856475	5.084586	4.018287	4.559346	5.035039	3.531412	6.602555	5.502728	6.768377	10.40204	4.177233	3.68151	3.518365	3.7637	6.157803	4.163705	3.761459	3.743757	3.51353	3.987893	7.654343	3.679985	3.998185	4.344308	5.265907	3.97993
HCC56_LARGE_INTESTINE	4.165907	3.828597	5.125575	8.924739	3.743147	4.77879	4.777521	4.382748	5.550558	3.2198	4.104662	6.118339	5.347453	5.032709	4.786097	3.651715	4.629866	4.033185	4.188883	8.468988	5.237742	8.500089	4.168963	3.919854	3.539231	3.927682	4.193911	3.625303	5.162859	4.394403	4.46877	4.85804	4.056379	4.178121	6.043772	6.146059	9.825593	4.178471	4.395504	10.57674	3.400045	5.311583	7.919433	3.988284	8.264963	3.865641	4.433101	7.304158	4.763971	4.042351	5.069103	6.099747	3.963612
NCIH1648_LUNG	4.214594	3.780444	5.961539	7.850793	3.875577	9.346405	5.119424	9.563355	5.581347	3.607199	4.029914	6.218444	4.52016	5.515924	4.270827	3.636364	5.155831	4.406781	5.966794	8.043404	4.996394	5.380226	3.742166	5.900889	3.804559	3.802568	3.657247	3.617276	4.911305	3.96418	4.361729	4.198906	9.096538	6.595822	6.359873	5.312777	8.982341	4.175273	3.634389	4.491277	3.595907	5.700264	5.216774	4.695675	4.272511	3.689055	4.492909	7.35226	8.220784	3.84164	6.018616	5.957249	4.591198
