Gene	SecondarySource	PrimarySource
REG1A	DrugBank	
OR5B17	DGI_druggable	dGene RussLampel HopkinsGroom
NDUFB5	DrugBank	
MEST	DGI_druggable	dGene
STRC	DGI_membrane	GO
DUSP19	DGI_druggable	dGene RussLampel HopkinsGroom
DUSP18	DGI_druggable	dGene RussLampel HopkinsGroom
OR6N1	DGI_druggable	dGene RussLampel HopkinsGroom
DUSP15	DGI_druggable	dGene RussLampel HopkinsGroom
DUSP14	DGI_druggable	dGene RussLampel HopkinsGroom
DUSP16	DGI_druggable	dGene RussLampel HopkinsGroom
DUSP11	DGI_druggable	dGene HopkinsGroom
DUSP10	DGI_druggable	dGene RussLampel HopkinsGroom
DUSP13	DGI_druggable	dGene RussLampel HopkinsGroom
DUSP12	DGI_druggable	dGene RussLampel HopkinsGroom
OR2L13	DGI_druggable	dGene RussLampel HopkinsGroom
SDS	DrugBank	
KAT5	DrugBank	
TENC1	DGI_druggable	dGene
NDUFS1	DrugBank	
HIAT1	DGI_druggable	RussLampel
GPR182	DGI_druggable	dGene RussLampel HopkinsGroom
NDUFS4	DrugBank	
OPRD1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
NDUFS6	DrugBank	
NDUFS7	DrugBank	
C1S	DGI_druggable;DrugBank;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;
C1R	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
CRIM1	DGI_druggable	dGene
PVRL4	Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
KCNK6	DrugBank	
OR10R2	DGI_druggable	dGene RussLampel HopkinsGroom
M6PR	DGI_membrane;DrugBank;TherapeuticTargetsDatabase	GO;;
AOC3	DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions	GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
TIMP4	DGI_druggable	dGene
ZRANB1	DGI_druggable	dGene RussLampel HopkinsGroom
TIMP2	DGI_druggable;DGI_membrane	dGene;GO
TIMP1	DGI_druggable	dGene
CTRL	DGI_druggable	dGene HopkinsGroom
CTRC	DGI_druggable	dGene RussLampel HopkinsGroom
NTF4	DrugBank	
PARL	DGI_druggable	dGene
PKMYT1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
HBB	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
COL1A2	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
BOK	DGI_druggable	RussLampel HopkinsGroom
PI4K2B	DGI_druggable	RussLampel HopkinsGroom
KCNK2	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
PI4K2A	DGI_druggable	HopkinsGroom
HIBADH	DrugBank	
MS4A2	DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions	GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
MS4A1	DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
ASH2L	DGI_druggable	HopkinsGroom
SDR42E2	DGI_druggable	RussLampel
LGSN	DrugBank	
DNTT	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
IL12RB2	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
RXFP1	DGI_druggable	dGene RussLampel HopkinsGroom
OR52J3	DGI_druggable	dGene HopkinsGroom
RXFP3	DGI_druggable	dGene RussLampel HopkinsGroom
RXFP2	DGI_druggable	dGene RussLampel HopkinsGroom
RXFP4	DGI_druggable	dGene RussLampel HopkinsGroom
LYZ	DrugBank	
NDUFB10	DrugBank	
GPR101	DGI_druggable	dGene RussLampel HopkinsGroom
PYGB	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
MICAL3	DGI_druggable	HopkinsGroom
CSNK1G3	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank	;dGene RussLampel;;
PITRM1	DGI_druggable	dGene
GOT2	DrugBank	
TRAPPC1	DrugBank	
LYN	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions	;dGene RussLampel HopkinsGroom;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
GOT1	DrugBank	
PYGL	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
RNASEL	KinasesCuratedByOlenaSofie;DGI_druggable	;dGene RussLampel
PFAS	DrugBank	
RNASE1	DrugBank	
RNASE3	DrugBank	
TINAGL1	DGI_druggable	dGene RussLampel
SOD2	DrugBank	
TH	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
SOD1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
VWA2	DGI_druggable	RussLampel
LY9	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
VWA1	DGI_druggable	RussLampel
KCNN4	DrugBank	
FASLG	DGI_membrane;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes	GO;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368
KCNN2	DrugBank	
OR2T8	DGI_druggable	dGene RussLampel HopkinsGroom
MGMT	DrugBank	
OR2T6	DGI_druggable	dGene RussLampel HopkinsGroom
OR2T7	DGI_druggable	dGene
OR2T4	DGI_druggable	dGene RussLampel HopkinsGroom
OR2T5	DGI_druggable	dGene HopkinsGroom
OR2T2	DGI_druggable	dGene RussLampel HopkinsGroom
OR2T3	DGI_druggable	dGene RussLampel HopkinsGroom
OR2T1	DGI_druggable	dGene RussLampel HopkinsGroom
FECH	DrugBank;TherapeuticTargetsDatabase	;
ACOT13	DrugBank	
BRSK2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
BRSK1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
CCR1	DGI_druggable;DGI_membrane;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;GO;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
ROBO1	DGI_membrane	GO
TUB	DrugBank	
ROBO2	DGI_membrane	GO
MST1R	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
CCR2	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
OR11L1	DGI_druggable	dGene RussLampel HopkinsGroom
ADAMDEC1	DGI_druggable	dGene RussLampel
TLR3	DGI_membrane;TherapeuticTargetsDatabase	GO;
DDX6	DrugBank	
SERPING1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
HUNK	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
DDX1	DGI_druggable	HopkinsGroom
TLR4	DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
KRT7	DrugBank	
TLR8	DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
TLR9	DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
SLC19A2	DrugBank	
APP	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
SCN3B	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
OR5AS1	DGI_druggable	dGene RussLampel HopkinsGroom
KCNJ13	DGI_druggable	RussLampel
VDR	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ACADS	DrugBank	
CD2	DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
SLC7A8	DGI_druggable;DrugBank	RussLampel;
NR3C2	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
SLC7A6	DGI_druggable	RussLampel
TYSND1	DGI_druggable	dGene RussLampel HopkinsGroom
SLC7A4	DGI_druggable;DrugBank	RussLampel;
CCR7	DGI_druggable;DGI_membrane	dGene RussLampel HopkinsGroom;GO
DCLK1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
KCNJ11	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
DCLK3	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
DCLK2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
NOX1	TherapeuticTargetsDatabase	
PPP3CA	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
KCNJ10	DGI_druggable;TherapeuticTargetsDatabase	RussLampel;
PON3	DrugBank	
IL1A	DGI_membrane;Curated dataset based on clinical trial drug-target interactions	GO;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CACNA2D2	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
PLIN3	DrugBank	
CSF3	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
DPEP1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ADRBK2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank	;dGene RussLampel HopkinsGroom;;
DPEP3	DGI_druggable	dGene
TP53RK	KinasesCuratedByOlenaSofie;DGI_druggable	;dGene
KCNJ15	DGI_druggable	RussLampel
STYXL1	DGI_druggable	dGene HopkinsGroom
TNR	DGI_druggable	RussLampel HopkinsGroom
HLA-DQA2	DrugBank	
CD9	DGI_membrane;DrugBank;Computationally obtained list of cell surface genes	GO;;Publication_da_Cunha_etal_PMID_19805368
PRSS33	DGI_druggable	dGene RussLampel HopkinsGroom
TRAPPC5	DrugBank	
SLC5A10	DGI_druggable	RussLampel
SLC5A11	DGI_druggable	RussLampel
PRSS37	DGI_druggable	dGene RussLampel HopkinsGroom
NR5A2	DGI_druggable	dGene RussLampel HopkinsGroom
PRSS35	DGI_druggable	dGene RussLampel HopkinsGroom
GYG1	DrugBank	
PRSS38	DGI_druggable	dGene RussLampel HopkinsGroom
TOP2B	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
TOP2A	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
EPM2A	DGI_druggable	dGene RussLampel HopkinsGroom
ACVRL1	KinasesCuratedByOlenaSofie;DGI_druggable;DGI_membrane;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel;GO;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
ASIC5	DGI_druggable	RussLampel HopkinsGroom
ASIC4	DGI_druggable	RussLampel HopkinsGroom
ASIC1	DGI_druggable;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;
PGM1	DrugBank	
ASIC3	DGI_druggable;TherapeuticTargetsDatabase	HopkinsGroom;
ELTD1	DGI_druggable	dGene RussLampel HopkinsGroom
OR6V1	DGI_druggable	dGene RussLampel HopkinsGroom
ABCB11	DGI_druggable;DrugBank;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;
ABCB10	DGI_druggable	RussLampel HopkinsGroom
APC	Rahul	Biallelic inactivation may predict sensitivity to inhibitors of WNT signaling or anti-TRAIL antibodies. May signal the presence of a germline mutation.
SBK2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
SBK3	KinasesWitteLab	
SBK1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
UQCRFS1	DrugBank	
FGF1	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
SLC25A40	DGI_druggable	RussLampel
SLC25A41	DGI_druggable	RussLampel
SLC25A42	DGI_druggable	RussLampel
SLC25A43	DGI_druggable	RussLampel
SLC25A44	DGI_druggable	RussLampel
TNFAIP8	DGI_druggable	dGene
SLC25A46	DGI_druggable	RussLampel
SLC25A47	DGI_druggable	RussLampel
SLC25A48	DGI_druggable	RussLampel
SDC1	DGI_membrane;Computationally obtained list of cell surface genes	GO;Publication_da_Cunha_etal_PMID_19805368
SDC2	DrugBank	
GCH1	DrugBank	
SDC4	DGI_membrane	GO
ICAM4	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
TNFAIP3	DGI_druggable	dGene
XPNPEP1	DGI_druggable	dGene RussLampel HopkinsGroom
NUP153	DGI_druggable	RussLampel HopkinsGroom
CD81	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
ELOVL4	DrugBank	
GGT1	DGI_druggable;DGI_membrane;DrugBank;Computationally obtained list of cell surface genes	dGene;GO;;Publication_da_Cunha_etal_PMID_19805368
STRADB	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
OR2F2	DGI_druggable	dGene RussLampel HopkinsGroom
IPO9	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
TMX1	DGI_druggable	RussLampel HopkinsGroom
IPO4	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
XPNPEP3	DGI_druggable	dGene RussLampel HopkinsGroom
AMY1A	DGI_druggable;DrugBank	RussLampel;
NRBP2	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
NRBP1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
BDNF	DrugBank;TherapeuticTargetsDatabase	;
RHBG	DGI_druggable	RussLampel
TNC	DGI_druggable;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
SMCHD1	DGI_druggable	HopkinsGroom
CST9L	DGI_druggable	dGene
MCOLN2	DGI_druggable	RussLampel
ERAP1	DGI_druggable	dGene RussLampel
MPL	Rahul;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	Mutation may predict sensitivity to JAK2 inhibitors;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
CARS2	DrugBank	
GNRHR	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
SPINK14	DGI_druggable	dGene
SPINK13	DGI_druggable	dGene
RETSAT	DrugBank	
CNR1	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
TP63	DGI_druggable	RussLampel HopkinsGroom
IL17RA	Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	Publication_da_Cunha_etal_PMID_19805368;
CNR2	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
NR6A1	DGI_druggable	dGene RussLampel HopkinsGroom
RRH	DGI_druggable	dGene RussLampel HopkinsGroom
GP1BA	DGI_membrane;DrugBank;Computationally obtained list of cell surface genes	GO;;Publication_da_Cunha_etal_PMID_19805368
MARS2	DGI_druggable;DrugBank	RussLampel;
NAGK	DrugBank	
SCPEP1	DGI_druggable;DrugBank	dGene;
MAPK3	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions	;dGene RussLampel HopkinsGroom;Amplification may predict resistance to EGFR inhibition.;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
MAPK1	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions	;dGene RussLampel HopkinsGroom;Amplification may predict resistance to EGFR inhibition.;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
MAPK6	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
MAPK7	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
MAPK4	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
DUSP5	DGI_druggable	dGene RussLampel HopkinsGroom
DUSP4	DGI_druggable	dGene RussLampel HopkinsGroom
DUSP7	DGI_druggable	dGene RussLampel HopkinsGroom
DUSP6	DGI_druggable	dGene RussLampel HopkinsGroom
DUSP1	DGI_druggable	dGene RussLampel HopkinsGroom
MED12	Rahul	May predict resistance to targeted therapies
DUSP3	DGI_druggable	dGene RussLampel HopkinsGroom
DUSP2	DGI_druggable	dGene RussLampel HopkinsGroom
ICOS	DGI_membrane;TherapeuticTargetsDatabase	GO;
ELN	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
ICAM1	DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
S100P	DrugBank	
QDPR	DGI_druggable;DrugBank	HopkinsGroom;
PGPEP1L	DGI_druggable	dGene
VCPIP1	DGI_druggable	dGene
OR51E1	DGI_druggable	dGene RussLampel HopkinsGroom
OR51E2	DGI_druggable	dGene RussLampel HopkinsGroom
GPR37	DGI_druggable	dGene RussLampel HopkinsGroom
GSTA3	DrugBank	
CYP4A11	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
FADS2	DrugBank	
VWA3B	DGI_druggable	RussLampel
OR5V1	DGI_druggable	dGene RussLampel HopkinsGroom
VWA3A	DGI_druggable	RussLampel
TSTA3	DrugBank	
ZFY	DrugBank	
CYP7A1	DGI_druggable	RussLampel HopkinsGroom
MFSD9	DGI_druggable	RussLampel
XRCC6BP1	DGI_druggable	dGene
TPTE2	DGI_druggable	dGene HopkinsGroom
ALOX12B	DGI_druggable	RussLampel HopkinsGroom
MAT2A	DrugBank	
TAS2R43	DGI_druggable	dGene
TAS2R42	DGI_druggable	dGene
TAS2R41	DGI_druggable	dGene
TAS2R40	DGI_druggable	dGene
TAS2R46	DGI_druggable	dGene
TAS2R45	DGI_druggable	dGene
PRTFDC1	DGI_druggable	RussLampel HopkinsGroom
TAS2R39	DGI_druggable	dGene
FOLH1B	DGI_druggable	dGene
TRIB1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel;
OR10A3	DGI_druggable	dGene RussLampel HopkinsGroom
OR10A2	DGI_druggable	dGene RussLampel HopkinsGroom
OR10A5	DGI_druggable	dGene RussLampel HopkinsGroom
OR10A4	DGI_druggable	dGene RussLampel HopkinsGroom
OR10A7	DGI_druggable	dGene RussLampel HopkinsGroom
OR10A6	DGI_druggable	dGene RussLampel HopkinsGroom
ADAM10	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes	dGene RussLampel;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368
ADAM11	DGI_druggable	dGene RussLampel
ADAM12	DGI_druggable	dGene RussLampel
GPR50	DGI_druggable	dGene RussLampel HopkinsGroom
ADAM15	DGI_druggable	dGene RussLampel
GPR55	DGI_druggable	dGene RussLampel HopkinsGroom
ADAM17	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes	dGene RussLampel;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368
ADAM18	DGI_druggable	dGene RussLampel
ADAM19	DGI_druggable	dGene RussLampel
TAF2	TherapeuticTargetsDatabase	
AK2	DrugBank	
IDH3A	DrugBank	
SERPINA1	DGI_druggable;DrugBank;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;
SERPINA2	DGI_druggable	dGene RussLampel
SERPINA3	DGI_druggable	dGene RussLampel HopkinsGroom
SERPINA4	DGI_druggable	dGene RussLampel HopkinsGroom
SERPINA5	DGI_druggable;DGI_membrane;DrugBank	dGene RussLampel HopkinsGroom;GO;
SERPINA6	DGI_druggable;DrugBank;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;
SERPINA7	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
PLOD2	DrugBank	
SERPINA9	DGI_druggable	dGene RussLampel HopkinsGroom
PLOD1	DrugBank	
NRAS	Rahul;Curated dataset based on clinical trial drug-target interactions	Mutations predict resistance to RAF- inhibitors. Mutations may be sensitive to MEK inhibitors.;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
VKORC1L1	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
PXK	KinasesCuratedByOlenaSofie;DGI_druggable	;dGene RussLampel
DNASE1	DGI_druggable	RussLampel
KCNT2	DGI_druggable	RussLampel
FFAR2	DGI_druggable	dGene RussLampel HopkinsGroom
ACSS2	DrugBank	
PYCARD	DGI_druggable	HopkinsGroom
ATP7B	DrugBank	
AK1	DrugBank	
DGKD	DrugBank	
ICK	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
DNMT3A	Rahul	May predict sensitivity to DNA methylransferace inhibitors.  May be prognostic in leukemia
CSF2RA	DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes;TherapeuticTargetsDatabase	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368;
GRIN2D	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
RAD21	Rahul	
GNA11	Rahul	Mutations may predict sensitivity to MAPK pathway inhibitors
PYCR1	DrugBank	
PTGIS	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
PTGIR	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
USP12	DGI_druggable	dGene
USP13	DGI_druggable	dGene
USP10	DGI_druggable	dGene
USP11	DGI_druggable	dGene
USP16	DGI_druggable	dGene
NR2E1	DGI_druggable	dGene RussLampel HopkinsGroom
USP14	DGI_druggable;DGI_membrane	dGene;GO
USP15	DGI_druggable	dGene
ACSL3	DrugBank	
USP18	DGI_druggable	dGene
USP19	DGI_druggable	dGene
NPM1	Rahul	Mutations are an indication for transplant in AML
PTPRM	DGI_druggable	dGene RussLampel HopkinsGroom
CCL11	DrugBank	
PCSK1N	DGI_druggable	dGene
RNLS	DGI_druggable	HopkinsGroom
RHCG	DGI_druggable	RussLampel
RHCE	DGI_druggable;Computationally obtained list of cell surface genes	RussLampel;Publication_da_Cunha_etal_PMID_19805368
TXNDC16	DGI_druggable	HopkinsGroom
TMEM27	DGI_druggable	dGene
GPR64	DGI_druggable	dGene RussLampel HopkinsGroom
ATP1B3	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
PDE2A	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
UQCR11	DrugBank	
GPR65	DGI_druggable	dGene RussLampel HopkinsGroom
BRAF	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	;dGene RussLampel HopkinsGroom;Mutations predict sensitivity to RAF inhibitors. Amplification may predict resistance to MEK inhibitors.;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
BIRC2	Curated dataset based on clinical trial drug-target interactions	Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
ADAM21	DGI_druggable	dGene RussLampel
MGAM	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
MMP26	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
ADAM20	DGI_druggable	dGene RussLampel
PCMT1	DrugBank	
PCSK9	DGI_druggable;DGI_membrane;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene;GO;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
